time,cpu,mem,diskRand,diskSeq
1668380401,853.74,1810.99,37.63,28.83
1668382201,857.37,1808.57,38.29,39.11
1668384001,834.81,1801.88,39.11,31.61
1668385801,854.51,1805.77,27.29,38.77
1668387601,835.72,1803.02,30.10,33.50
1668389401,859.53,1803.29,32.53,39.13
1668391201,847.29,1801.93,31.32,19.96
1668393001,859.42,1802.32,37.23,39.17
1668394801,843.08,1800.72,28.99,31.36
1668396601,855.25,1805.75,30.08,30.00
1668398401,843.67,1801.78,36.47,19.98
1668400201,850.55,1806.80,36.12,34.84
1668402001,832.76,1800.73,30.33,29.33
1668403801,851.96,1803.14,29.72,38.75
1668405601,850.05,1804.69,38.41,38.80
1668407401,859.06,1800.99,37.99,28.90
1668409201,829.82,1802.60,38.81,38.97
1668411001,857.43,1803.26,39.21,38.08
1668412801,831.16,1803.78,37.36,37.94
1668414601,859.50,1803.98,29.34,39.35
1668416401,839.87,1801.02,36.74,19.12
1668418201,857.71,1806.66,38.57,36.17
1668420001,852.10,1804.97,29.83,19.49
1668421801,860.70,1801.73,21.47,20.24
1668423601,842.16,1801.66,27.17,19.57
1668425401,858.18,1807.97,26.32,19.68
1668427201,857.76,1784.57,30.13,1.56
1668429001,857.89,1804.95,20.84,1.56
1668430801,840.88,1802.59,11.11,1.56
1668432601,857.72,1804.00,11.05,1.56
1668434401,839.69,1805.53,11.16,1.56
1668436201,861.16,1804.39,11.14,1.56
1668438001,844.31,1803.31,11.09,1.56
1668439801,861.87,1808.87,11.09,1.56
1668441601,849.25,1804.89,11.10,1.56
