time,cpu,mem,diskRand,diskSeq
1668380401,947.70,8443.47,2.39,118.31
1668382201,948.22,8448.37,2.40,117.89
1668384001,945.38,8440.66,2.40,104.28
1668385801,948.69,8434.17,2.39,117.50
1668387601,948.17,8440.16,2.40,112.98
1668389401,946.95,8419.71,2.40,112.60
1668391201,948.68,8427.90,2.39,108.91
1668393001,949.66,8442.38,2.39,95.55
1668394801,949.19,8440.15,2.39,102.75
1668396601,949.74,8442.72,2.39,116.29
1668398401,945.51,8418.66,2.38,110.69
1668400201,948.65,8438.07,2.39,108.71
1668402001,948.07,8444.29,2.40,96.20
1668403801,947.31,8402.95,2.40,113.71
1668405601,948.48,8441.95,2.40,113.39
1668407401,946.73,8412.82,2.39,112.92
1668409201,949.60,8437.40,2.40,108.51
1668411001,947.13,8446.69,2.39,102.01
1668412801,947.17,8416.73,2.39,102.82
1668414601,948.08,8433.64,2.39,100.11
1668416401,944.97,8422.28,2.40,100.84
1668418201,945.13,8425.65,2.39,103.05
1668420001,945.28,8417.58,2.39,91.42
1668421801,945.58,8422.02,2.39,101.12
1668423601,946.51,8407.26,2.39,100.04
1668425401,945.98,8430.92,2.39,103.50
1668427201,948.26,8434.00,2.40,98.91
1668429001,946.96,8344.75,2.39,95.32
1668430801,945.27,8319.38,2.40,101.10
1668432601,947.67,8403.27,2.39,97.45
1668434401,945.32,8400.51,2.39,90.98
1668436201,944.53,8413.69,2.39,98.16
1668438001,946.59,8417.61,2.39,89.04
1668439801,945.29,8411.87,2.39,100.49
1668441601,947.56,8400.23,2.39,93.51
1668443401,942.61,8405.88,2.40,93.96
