time,cpu,mem,diskRand,diskSeq
1668102146,904.31,1801.46,85.70,121.12
1668104202,904.19,1804.24,94.64,121.17
1668106258,906.32,1795.43,88.55,121.23
1668108314,902.84,1807.00,100.73,121.14
1668110370,900.58,1804.61,75.83,121.18
1668112426,907.93,1813.48,88.52,121.24
1668114482,903.15,1798.69,89.23,121.18
1668116538,907.52,1812.28,96.93,121.23
1668118594,909.20,1801.16,94.41,121.20
1668120650,902.97,1805.77,99.46,121.21
1668122706,908.49,1812.47,104.74,121.17
1668124762,906.11,1809.79,89.48,121.21
1668126818,906.65,1815.15,96.98,121.23
1668128874,903.44,1800.01,79.25,121.01
1668130932,902.01,1801.45,99.60,121.21
1668132988,905.99,1798.74,96.07,121.20
1668135044,905.04,1806.70,101.25,121.14
1668137100,903.20,1801.54,98.81,121.17
1668139155,904.32,1814.51,83.53,121.05
1668141215,903.90,1804.05,104.55,121.02
1668143271,905.68,1805.19,84.93,121.12
1668145327,866.20,1593.35,88.56,121.23
1668147383,907.62,1802.90,90.72,121.24
1668149439,903.45,1806.58,94.04,121.12
1668151495,904.31,1806.53,102.49,121.17
1668153551,899.18,1809.78,78.74,121.19
1668155607,907.05,1798.33,92.37,121.22
1668157663,906.68,1801.98,87.99,121.21
1668159719,903.37,1806.41,79.25,121.23
1668161776,902.35,1805.60,87.68,121.21
1668163832,904.88,1803.60,95.34,121.17
1668165889,905.51,1801.79,84.09,121.22
1668167945,889.99,1807.30,52.60,121.20
1668170002,905.37,1788.60,96.93,121.27
1668172058,906.19,1806.66,89.88,121.23
1668174114,906.94,1808.04,95.67,121.21
1668176170,905.45,1803.97,86.20,121.21
1668178226,902.28,1810.15,91.97,121.16
1668180282,902.47,1811.38,94.04,121.21
1668182338,904.14,1792.48,76.73,121.22
1668184398,907.64,1809.52,91.84,121.22
1668186454,904.45,1802.31,95.10,121.21
1668188510,904.43,1801.06,99.02,121.20
1668190566,907.00,1804.19,86.40,121.27
1668192622,903.19,1802.74,94.42,121.14
1668194678,906.75,1803.01,95.88,121.22
1668196733,904.70,1775.98,84.14,121.24
1668198790,904.29,1805.52,97.52,121.19
1668200846,906.74,1804.41,91.27,121.02
1668202902,900.63,1809.77,84.99,121.24
1668204958,905.37,1800.64,90.32,121.22
1668207015,906.47,1801.11,93.35,121.16
1668209071,902.51,1807.31,101.99,121.21
1668211126,904.76,1801.80,89.86,121.26
1668213183,902.87,1801.42,93.39,121.22
1668215239,903.08,1802.05,95.17,121.23
1668217295,903.76,1802.14,105.27,121.24
1668219351,903.88,1800.29,93.88,121.24
1668221407,904.45,1805.13,100.56,121.10
1668223463,903.56,1804.70,98.37,121.22
1668225519,906.06,1778.40,98.76,121.10
1668227574,903.01,1805.09,101.34,121.08
1668229630,902.72,1803.66,96.75,121.25
1668231686,905.22,1797.94,97.07,121.24
1668233742,904.32,1800.03,99.30,121.20
1668235798,904.48,1809.67,96.37,121.10
1668237854,904.52,1800.49,91.40,121.20
1668239910,902.69,1797.88,91.00,121.09
1668241966,904.74,1804.35,101.58,121.19
1668244022,905.87,1804.82,94.21,121.24
1668246078,904.76,1805.43,99.47,121.19
1668248134,907.18,1801.03,97.25,121.18
1668250189,906.21,1799.99,95.14,121.02
1668252245,904.24,1806.83,98.83,121.24
1668254301,902.84,1794.50,93.28,121.10
1668256357,903.59,1809.32,97.69,121.23
1668258413,904.65,1801.27,89.17,121.23
1668260469,904.67,1806.43,97.44,121.21
1668262525,905.22,1805.17,97.33,121.14
1668264581,905.53,1799.73,100.75,121.24
1668266637,902.73,1805.11,93.96,121.21
1668268693,902.58,1785.67,97.13,121.05
1668270749,903.32,1803.63,95.16,121.16
1668272805,904.40,1805.42,96.03,121.21
1668274861,908.10,1796.18,99.18,121.20
1668276916,906.35,1801.42,93.55,121.15
1668278972,904.83,1805.02,92.43,121.25
1668281028,906.95,1806.91,98.31,121.14
1668283084,903.76,1797.02,85.73,120.94
1668285140,907.55,1801.35,97.72,121.19
1668287196,905.03,1804.23,100.21,121.21
1668289252,903.33,1805.14,103.78,121.24
1668291308,906.99,1802.81,99.49,121.14
1668293364,905.60,1801.93,104.01,121.21
1668295420,905.31,1808.46,104.87,121.23
1668297476,901.77,1800.50,91.46,121.05
