time,cpu,mem,diskRand,diskSeq
1668102773,701.15,8168.06,4236.63,4922.80
1668104831,947.74,8412.47,4239.26,4902.05
1668106889,944.31,8337.64,4014.90,4806.38
1668108947,946.55,8388.60,4115.39,4800.90
1668111004,947.00,8405.20,4126.72,4782.35
1668113062,949.86,8420.52,4216.29,4898.10
1668115119,950.75,8341.96,4267.36,4948.39
1668117177,950.33,8410.03,4145.74,4926.61
1668119234,949.91,8443.56,4207.02,4960.00
1668121292,951.35,8428.34,4218.94,4951.76
1668123349,951.01,8438.76,4223.08,4951.81
1668125406,946.27,7906.77,3767.16,4777.30
1668127464,949.72,8421.87,4143.08,4871.14
1668129522,950.79,8432.68,4149.21,4926.55
1668131579,948.69,8423.22,4161.36,4921.90
1668133637,949.86,8414.18,4081.37,4835.08
1668135694,950.20,8426.39,4121.43,2512.26
1668137752,948.67,8429.82,4016.13,4692.30
1668139810,948.87,8424.04,3965.91,4704.95
1668141867,951.30,8433.87,4037.68,4698.69
1668143925,950.29,8405.93,4002.11,4665.53
1668145982,950.14,8417.10,3935.98,4667.69
1668148040,949.54,8378.82,4010.49,4730.33
1668150097,950.18,8418.07,4035.85,4756.38
1668152155,949.83,8427.00,3992.09,4712.82
1668154212,939.63,8330.15,3716.17,4482.87
1668156270,943.96,8274.79,3840.51,4590.14
1668158327,947.38,8408.85,3960.04,4705.36
1668160385,948.20,8385.95,3953.65,4738.98
1668162442,946.12,8398.30,3927.00,4693.34
1668164500,946.73,8363.01,3873.99,4704.81
1668166557,947.64,8400.26,3852.74,4701.81
1668168615,947.10,8409.77,3942.85,4696.30
1668170673,947.43,8356.34,3838.08,4637.93
1668172730,948.73,8387.63,3840.51,4688.10
1668174788,948.11,8407.19,3932.99,4683.73
1668176845,944.01,8396.58,3854.01,4640.31
1668178903,945.93,8389.55,3905.01,4598.79
1668180960,947.74,8190.52,3876.98,4684.89
1668183018,944.38,8359.92,3882.39,4647.01
1668185076,946.98,8380.47,3823.81,4640.00
1668187133,944.31,8359.51,3867.21,4578.29
1668189191,944.11,8393.31,3873.05,4621.06
1668191248,945.37,8386.25,3908.69,4636.04
1668193306,945.39,8337.95,3859.09,4627.85
1668195363,946.49,8373.74,3834.30,4611.88
1668197421,944.21,8420.86,3911.18,4638.21
1668199479,947.95,8408.58,3912.74,4642.74
1668201536,941.65,8384.93,3835.24,4629.30
1668203594,947.98,8395.16,3913.43,4676.36
1668205651,947.61,8416.52,3918.87,4659.51
1668207709,945.63,8397.06,3896.34,4543.53
1668209767,946.65,8397.96,3852.72,4378.21
1668211824,939.79,8194.89,3831.30,4573.18
1668213882,943.62,8373.88,3777.94,4668.84
1668215939,940.78,8362.87,3720.98,4643.58
1668217997,945.64,8401.41,3922.74,4655.48
1668220054,944.44,8387.86,3690.54,4652.27
1668222112,935.69,8365.43,3867.19,4535.46
1668224170,947.65,8372.69,3801.20,4590.40
1668226227,946.72,8381.40,3941.29,4661.97
1668228285,948.85,8400.80,3935.15,4707.91
1668230342,946.74,8408.73,3901.46,4707.86
1668232400,948.36,8414.51,3983.83,4713.45
1668234457,947.85,8382.64,3871.00,4677.38
1668236515,948.10,8388.37,3931.00,4652.86
1668238572,945.20,8388.05,3896.77,4660.63
1668240630,947.92,8340.01,3760.11,4601.00
1668242687,944.67,8388.96,3831.99,4628.67
1668244745,946.91,8384.71,3921.19,4660.95
1668246803,946.24,8389.04,3886.57,4675.51
1668248860,947.44,8390.02,3863.43,4562.90
1668250918,947.18,8401.67,3868.18,4661.65
1668252975,947.04,8407.47,3853.56,4674.68
1668255033,948.71,8392.58,2094.18,4626.25
1668257091,942.94,8391.25,3861.60,4629.97
1668259148,946.78,8394.34,3914.52,4648.57
1668261206,946.93,8398.46,3833.66,4643.65
1668263263,947.96,8392.69,3866.30,4654.03
1668265321,946.89,8342.49,3866.12,4602.23
1668267378,948.23,8379.36,3838.74,4610.90
1668269436,944.53,8199.77,3837.13,4578.08
1668271494,945.67,8401.81,3761.18,4655.46
1668273551,943.12,8393.84,3864.03,4656.73
1668275609,946.91,8384.76,3965.52,4625.74
1668277666,946.05,8385.15,3845.30,4646.08
1668279724,946.48,8371.58,3796.20,4645.86
1668281781,944.39,8392.59,3968.17,4604.10
1668283839,946.90,8403.97,3895.26,4654.33
1668285896,945.82,8388.67,3923.21,4634.55
1668287954,939.59,8377.16,3805.29,4587.73
1668290011,946.23,8389.64,3859.64,4648.10
1668292069,947.92,8403.99,3850.47,4657.05
1668294127,947.51,8391.18,4027.29,4704.58
1668296184,947.62,8408.66,3896.65,4675.60
1668298242,941.05,8302.21,3944.39,4617.63
