time,cpu,mem,diskRand,diskSeq,fork,uplink
1670361140,1155.04,11075.06,148.31,578.25,7187.58790697674418604651,32260
1670361502,1150.68,11092.54,156.67,585.92,7186.69813953488372093023,31790
1670361865,1141.90,11096.52,156.23,575.90,7129.56046511627906976744,33746
1670362227,1128.00,11088.20,148.55,579.96,7149.47348837209302325581,34601
1670362589,1156.08,11084.63,153.29,585.25,7179.48860465116279069767,34981
1670362951,1158.35,11085.83,155.25,576.38,7048.66214285714285714285,34056
1670363313,1156.57,11093.62,150.51,585.59,7186.42000000000000000000,34790
1670363676,1156.21,11085.90,157.40,587.19,7200.62883720930232558139,34768
1670364039,1159.50,11088.99,156.60,594.91,6862.24097560975609756097,33076
1670364402,1148.91,11085.07,155.89,561.17,7156.46860465116279069767,35161
