time,cpu,mem,diskRand,diskSeq,fork,uplink
1670364766,1153.52,2220.23,379.53,384.56,5994.17861111111111111111,3090
1670365128,1150.09,2218.89,381.23,391.76,5973.41500000000000000000,3131
1670365491,1151.92,2220.59,387.40,386.73,5943.14305555555555555555,3287
1670365853,1154.94,2220.83,384.82,389.99,5984.30138888888888888888,3382
1670366216,1080.80,2153.33,393.15,362.86,5980.32194444444444444444,3318
1670366579,1152.92,2222.72,386.51,392.97,5868.49857142857142857142,3209
1670366941,1143.17,2219.73,382.41,394.66,5950.46777777777777777777,3160
1670367303,1127.47,2220.06,389.96,397.23,5891.70085714285714285714,2551
1670367667,1139.44,2217.21,380.26,389.33,5934.05555555555555555555,2638
1670368029,1145.25,2218.91,351.54,389.21,5958.89166666666666666666,3328
