time,cpu,mem,diskRand,diskSeq,fork,uplink
1670368416,331.40,1534.77,37.04,37.25,117.19000000000000000000,493
1670368789,386.09,1548.76,33.97,24.69,115.29000000000000000000,559
1670369176,381.86,1404.40,38.31,38.98,112.84000000000000000000,463
1670369561,389.54,1406.67,39.01,38.62,164.26000000000000000000,551
1670369947,369.78,1319.41,37.91,38.20,113.05000000000000000000,528
1670370332,390.81,1409.04,38.43,35.76,107.72000000000000000000,515
1670370716,380.45,1401.98,37.60,38.24,151.08000000000000000000,519
1670371100,365.25,1418.83,38.52,39.02,131.44000000000000000000,547
1670371485,378.83,1309.83,36.48,38.89,126.22000000000000000000,451
1670371870,387.83,1222.63,38.56,38.57,117.68000000000000000000,529
