time,cpu,mem,diskRand,diskSeq,fork,uplink
1670190255,1396.99,11248.52,141.44,180.45,2536.78383561643835616438,41911
1670190618,1391.92,11403.21,144.10,180.94,2591.44054794520547945205,42181
1670190980,1409.32,11521.83,142.48,180.15,2402.29000000000000000000,42231
1670191342,1377.77,11519.68,143.63,182.43,2407.05281690140845070422,42235
1670191705,1395.57,11460.73,143.15,179.67,2357.24171428571428571428,42016
1670192067,1389.51,11356.21,141.55,179.76,2551.68739726027397260273,42076
1670192429,1389.72,11369.76,141.79,179.57,2369.55171428571428571428,42180
1670192791,1390.59,11349.05,141.79,180.77,2410.73263888888888888888,42227
1670193155,1403.22,11342.51,141.50,180.15,2377.38828571428571428571,42480
1670193517,1410.71,11393.80,142.11,180.73,2366.98557142857142857142,41936
