time,cpu,mem,diskRand,diskSeq,fork,uplink
1670193881,1389.80,11762.54,248.65,249.18,2893.70239436619718309859,30051
1670194241,1372.18,11591.31,245.79,306.74,2375.83492063492063492063,31099
1670194601,1340.20,11338.81,241.89,251.06,2257.06796875000000000000,31400
1670194963,1356.77,11238.78,247.34,253.12,3171.77289473684210526315,30883
1670195323,1342.90,11310.16,245.91,254.16,2268.22630769230769230769,30989
1670195685,1315.97,11470.15,239.39,244.68,3508.91682926829268292682,31270
1670196045,1315.61,11361.62,246.02,305.24,2182.07580645161290322580,31212
1670196406,1315.14,11384.92,239.72,251.03,2500.22970149253731343283,31173
1670196766,1347.44,11174.39,246.58,255.38,2389.61880597014925373134,31047
1670197128,1333.53,11395.15,246.69,254.87,2234.42619047619047619047,31099
