time,cpu,mem,diskRand,diskSeq,fork,uplink
1670186649,1361.12,13245.17,97.96,137.91,2572.66350649350649350649,51464
1670187010,1350.72,12985.11,97.75,138.46,2609.65618421052631578947,52068
1670187370,1362.77,13002.79,97.34,138.06,2528.90293333333333333333,51910
1670187730,1325.71,13002.92,96.83,139.61,2537.77093333333333333333,49816
1670188090,1326.18,13181.29,95.73,137.36,2532.18013333333333333333,51812
1670188450,1321.25,13244.99,96.41,137.92,2522.40866666666666666666,51712
1670188810,1314.03,13226.33,97.47,137.87,2564.44746666666666666666,51146
1670189170,1295.98,12901.69,97.57,137.51,2554.69736842105263157894,52356
1670189530,1302.30,13044.89,96.29,138.12,2527.93546666666666666666,52657
1670189890,1313.36,12956.32,96.98,137.77,2559.98460526315789473684,50697
