time,cpu,mem,diskRand,diskSeq,fork,uplink
1670197515,142.55,446.31,75.03,75.54,506.45333333333333333333,3177
1670197888,138.88,445.03,73.25,76.57,497.96400000000000000000,3093
1670198262,135.85,426.82,75.39,76.00,496.51733333333333333333,3211
1670198635,140.26,444.67,77.57,79.26,494.23066666666666666666,2966
1670199007,141.00,436.25,72.24,74.89,487.07000000000000000000,2739
1670199381,137.34,405.93,76.96,77.23,489.37866666666666666666,3199
1670199754,142.23,434.46,82.71,78.70,492.74400000000000000000,3105
1670200127,139.43,424.79,81.05,76.57,485.03466666666666666666,3211
1670200501,131.67,435.99,76.05,78.13,492.13733333333333333333,3014
1670200874,141.90,433.57,75.38,79.50,494.47400000000000000000,2867
