time,cpu,mem,diskRand,diskSeq,fork,uplink
1670016536,1494.28,13533.08,120.66,396.77,4731.35,47869
1670016842,1485.21,13518.15,95.36,394.00,4794.75,47920
1670017149,1487.55,13549.12,88.37,395.42,4742.87,46873
1670017455,1492.79,13500.94,95.98,393.30,4765.49,47565
1670017762,1494.56,13558.25,114.67,396.20,4784.66,47297
1670018067,1493.14,13534.24,131.45,392.84,4785.39,47449
1670018373,1483.49,13508.81,119.79,398.31,4775.11,47985
1670018679,1492.21,13518.05,84.75,390.07,4744.75,47743
1670018986,1491.58,13405.25,127.62,395.01,4795.78,48048
1670019292,1492.19,13477.04,105.70,393.82,4780.81,47719
