time,cpu,mem,diskRand,diskSeq,fork,uplink
1670019598,1488.62,12864.55,328.63,336.87,5577.77,31306
1670019903,1489.27,12861.37,342.81,345.24,5620.61,31420
1670020207,1492.00,12589.03,343.45,359.54,5438.75,29734
1670020511,1488.34,12749.01,351.88,367.79,5664.31,30112
1670020815,1474.22,12831.55,347.05,367.34,5682.08,30489
1670021119,1489.85,12709.34,353.51,375.37,5599.19,30609
1670021424,1488.95,12692.59,351.97,361.38,5633.78,30135
1670021728,1480.35,12861.65,358.98,364.60,5692.92,31063
1670022032,1478.74,12848.05,356.48,365.28,5607.80,29987
1670022336,1485.46,12836.24,351.32,364.11,5596.38,31032
