time,cpu,mem,diskRand,diskSeq,fork,uplink
1670013491,1397.45,15576.19,87.21,394.02,4702.70,46454
1670013796,1482.14,15698.98,85.82,396.56,4679.05,46175
1670014100,1481.17,15703.69,85.24,397.91,4774.42,45826
1670014404,1482.02,15570.13,85.68,386.94,4735.81,44683
1670014709,1475.41,15678.16,78.71,393.83,4642.88,46789
1670015013,1471.51,15578.05,77.67,392.67,4598.38,47144
1670015318,1482.46,15608.48,80.26,395.79,4790.99,46855
1670015622,1483.66,15681.51,80.63,394.92,4763.85,48379
1670015927,1483.32,15688.90,75.22,391.51,4742.34,45150
1670016231,1481.40,15704.36,79.81,396.70,4618.57,45573
