time,cpu,mem,diskRand,diskSeq,fork,uplink
1670022640,1466.15,12635.80,88.73,88.64,4880.71,1292
1670022945,1455.04,12498.61,89.35,89.31,5096.42,1288
1670023249,1479.49,12526.11,89.24,89.48,5054.74,1279
1670023553,1471.20,12573.03,87.84,88.90,4875.38,1291
1670023857,1481.48,12449.82,88.67,88.64,4967.17,1290
1670024162,1483.19,12573.19,88.74,89.76,4967.75,1289
1670024466,1474.05,12589.58,88.14,89.11,5121.61,1295
1670024770,1479.84,12470.51,88.71,88.84,5006.50,1290
1670025074,1481.93,12594.33,89.25,89.13,5175.84,1302
1670025378,1478.12,12571.44,85.23,90.02,4925.76,1290
